iter	Passed	Remaining
641	3519	1962
642	3524	1956
643	3529	1951
644	3534	1945
645	3539	1939
646	3544	1933
647	3549	1928
648	3554	1922
649	3559	1916
650	3564	1910
651	3569	1905
652	3574	1899
653	3579	1893
654	3583	1887
655	3589	1882
656	3594	1876
657	3599	1871
658	3604	1865
659	3609	1859
660	3614	1853
661	3620	1848
662	3625	1843
663	3631	1837
664	3636	1831
665	3642	1826
666	3647	1820
667	3652	1815
668	3657	1809
669	3662	1804
670	3668	1798
671	3672	1792
672	3678	1787
673	3683	1781
674	3688	1775
675	3693	1770
676	3698	1764
677	3702	1758
678	3707	1752
679	3712	1747
680	3717	1741
681	3722	1735
682	3727	1730
683	3732	1724
684	3738	1719
685	3743	1713
686	3748	1708
687	3754	1702
688	3758	1696
689	3763	1691
690	3768	1685
691	3773	1679
692	3779	1674
693	3784	1668
694	3789	1663
695	3795	1657
696	3799	1651
697	3805	1646
698	3809	1640
699	3814	1634
700	3819	1629
701	3825	1624
702	3830	1618
703	3836	1612
704	3842	1607
705	3847	1602
706	3852	1596
707	3856	1590
708	3861	1584
709	3866	1579
710	3871	1573
711	3876	1568
712	3881	1562
713	3886	1556
714	3891	1551
715	3895	1545
716	3901	1539
717	3906	1534
718	3912	1529
719	3917	1523
720	3922	1517
721	3927	1512
722	3932	1506
723	3937	1501
724	3943	1495
725	3948	1490
726	3953	1484
727	3958	1479
728	3964	1473
729	3969	1468
730	3974	1462
731	3979	1456
732	3984	1451
733	3989	1445
734	3994	1440
735	3999	1434
736	4004	1429
737	4009	1423
738	4015	1418
739	4020	1412
740	4025	1407
741	4031	1401
742	4036	1396
743	4040	1390
744	4046	1384
745	4050	1379
746	4055	1373
747	4061	1368
748	4065	1362
749	4070	1356
750	4075	1351
751	4081	1345
752	4086	1340
753	4091	1334
754	4097	1329
755	4101	1323
756	4106	1318
757	4112	1312
758	4117	1307
759	4122	1301
760	4127	1296
761	4132	1290
762	4137	1285
763	4142	1279
764	4146	1273
765	4152	1268
766	4158	1263
767	4163	1257
768	4168	1252
769	4173	1246
770	4178	1241
771	4184	1235
772	4188	1230
773	4193	1224
774	4198	1218
775	4203	1213
776	4208	1207
777	4213	1202
778	4219	1196
779	4224	1191
780	4230	1186
781	4235	1180
782	4240	1175
783	4245	1169
784	4250	1164
785	4255	1158
786	4260	1153
787	4265	1147
788	4270	1141
789	4275	1136
790	4279	1130
791	4284	1125
792	4289	1119
793	4295	1114
794	4300	1108
795	4305	1103
796	4311	1098
797	4316	1092
798	4321	1087
799	4326	1081
800	4331	1076
801	4337	1070
802	4342	1065
803	4348	1059
804	4353	1054
805	4357	1048
806	4363	1043
807	4369	1038
808	4374	1032
809	4379	1027
810	4386	1022
811	4391	1016
812	4397	1011
813	4403	1006
814	4409	1000
815	4414	995
816	4420	990
817	4427	985
818	4432	979
819	4439	974
820	4444	968
821	4450	963
822	4456	958
823	4461	952
824	4468	947
825	4472	942
826	4479	937
827	4484	931
828	4489	926
829	4495	920
830	4500	915
831	4507	910
832	4512	904
833	4519	899
834	4524	893
835	4529	888
836	4535	883
837	4540	877
838	4546	872
839	4551	866
840	4556	861
841	4562	856
842	4567	850
